symbol,timestamp,change_pct,range_pct,body_pct,upper_wick_pct,lower_wick_pct,volume_ratio_24h,volatility_24h,volatility_7d,change_4h,change_24h,change_7d,change_1d,change_3d,trend_up,hour_of_day,day_of_week,funding_rate,funding_trend,oi_change_pct,ls_ratio,taker_ratio,next_direction
BTCUSDT,2026-09-17 09:00:00+00:00,-0.1427,0.4156,34.3288,64.4137,1.2575,,,,,,,-0.9465,-1.7535,0,9,3,0.0050632900,-1.0000000000,-0.0920,1.720000,,0
ETHUSDT,2026-09-17 09:00:00+00:00,-0.2798,0.4705,59.4783,35.7391,4.7826,,,,,,,-1.3044,-3.9371,0,9,3,0.0008092400,-1.0000000000,0.2668,1.850000,,0
BTCUSDT,2026-09-17 10:00:00+00:00,-0.0752,0.2691,27.9533,3.9864,68.0603,1.0110,,,-0.1427,-0.1427,-0.1427,-0.9465,-1.7535,0,10,3,0.0050632900,-1.0000000000,-0.3291,1.730000,,1
ETHUSDT,2026-09-17 10:00:00+00:00,-0.1218,0.4102,29.7000,7.9000,62.4000,1.1880,,,-0.2798,-0.2798,-0.2798,-1.3044,-3.9371,0,10,3,0.0008092400,-1.0000000000,-0.5502,1.870000,,1
BTCUSDT,2026-09-17 11:00:00+00:00,0.0982,0.4316,22.7549,5.5825,71.6626,0.8450,0.0337,0.0337,-0.2179,-0.2179,-0.2179,-0.9465,-1.7535,0,11,3,0.0050632900,-1.0000000000,-0.4260,1.720000,,1
ETHUSDT,2026-09-17 11:00:00+00:00,0.2809,0.6687,42.0147,6.5111,51.4742,1.1820,0.0790,0.0790,-0.4016,-0.4016,-0.4016,-1.3044,-3.9371,0,11,3,0.0008092400,-1.0000000000,-0.2748,1.870000,,1
BTCUSDT,2026-09-17 12:00:00+00:00,0.3300,1.0033,32.8944,56.9231,10.1825,3.3850,0.1015,0.1015,-0.1197,-0.1197,-0.1197,-0.9465,-1.7535,0,12,3,0.0050632900,-1.0000000000,0.2891,1.640000,,0
ETHUSDT,2026-09-17 12:00:00+00:00,0.7168,1.7174,41.7362,50.1312,8.1326,4.4950,0.2361,0.2361,-0.1207,-0.1207,-0.1207,-1.3044,-3.9371,0,12,3,0.0008092400,-1.0000000000,0.0469,1.670000,,1
ETHUSDT,2026-09-17 13:00:00+00:00,0.1013,1.3372,7.5730,8.3637,84.0633,1.9980,0.3863,0.3863,0.5961,0.5961,0.5961,-1.3044,-3.9371,0,13,3,0.0008092400,-1.0000000000,1.1726,1.780000,,0
BTCUSDT,2026-09-17 13:00:00+00:00,-0.0412,1.1317,3.6406,17.2465,79.1129,2.2350,0.1827,0.1827,0.2103,0.2103,0.2103,-0.9465,-1.7535,0,13,3,0.0050632900,-1.0000000000,-0.4946,1.750000,,0
ETHUSDT,2026-09-17 14:00:00+00:00,-0.0471,1.3695,3.4411,63.8386,32.7203,1.8350,0.3461,0.3461,0.9772,0.6974,0.6974,-1.3044,-3.9371,0,14,3,0.0008092400,-1.0000000000,-0.2066,1.630000,,1
BTCUSDT,2026-09-17 14:00:00+00:00,-0.2573,0.9146,28.1375,55.1055,16.7570,1.5440,0.1677,0.1677,0.3118,0.1691,0.1691,-0.9465,-1.7535,0,14,3,0.0050632900,-1.0000000000,0.7748,1.660000,,1
ETHUSDT,2026-09-17 15:00:00+00:00,0.3617,1.2547,28.8306,27.4700,43.6994,0.9130,0.3235,0.3235,1.0519,0.6503,0.6503,-1.3044,-3.9371,0,15,3,0.0008092400,-1.0000000000,-1.2557,1.710000,,1
BTCUSDT,2026-09-17 15:00:00+00:00,0.3645,0.7849,46.4345,14.5285,39.0370,0.9820,0.1876,0.1876,0.1297,-0.0882,-0.0882,-0.9465,-1.7535,0,15,3,0.0050632900,-1.0000000000,-0.5115,1.710000,,0
BTCUSDT,2026-09-17 16:00:00+00:00,-0.0327,0.3734,8.7579,12.7704,78.4717,0.4660,0.2186,0.2186,0.3960,0.2763,0.2763,1.3199,-2.275,0,16,3,0.0088870400,1.0000000000,0.7105,1.670000,,0
ETHUSDT,2026-09-17 16:00:00+00:00,0.0154,0.7853,1.9598,15.0593,82.9809,0.5370,0.3123,0.3123,1.1327,1.0120,1.0120,3.2425,-1.5148,1,16,3,0.0064613300,1.0000000000,-1.0620,1.680000,,0
BTCUSDT,2026-09-17 17:00:00+00:00,-0.1202,0.5057,23.7629,54.8969,21.3402,0.5220,0.2058,0.2058,0.0333,0.2436,0.2436,1.3199,-2.275,0,17,3,0.0088870400,1.0000000000,0.3051,1.660000,,0
ETHUSDT,2026-09-17 17:00:00+00:00,-0.3114,0.7062,44.0940,36.1812,19.7248,0.4910,0.2953,0.2953,0.4313,1.0274,1.0274,3.2425,-1.5148,1,17,3,0.0064613300,1.0000000000,-0.0463,1.680000,,0
ETHUSDT,2026-09-17 18:00:00+00:00,-0.4549,0.5983,76.0353,5.6348,18.3299,0.3880,0.3108,0.3108,0.0186,0.7160,0.7160,3.2425,-1.5148,1,18,3,0.0064613300,1.0000000000,-0.3135,1.700000,,0
BTCUSDT,2026-09-17 18:00:00+00:00,-0.1242,0.4181,29.7129,37.4532,32.8340,0.2860,0.1998,0.1998,-0.0457,0.1234,0.1234,1.3199,-2.275,0,18,3,0.0088870400,1.0000000000,-0.6595,1.660000,,1
ETHUSDT,2026-09-17 19:00:00+00:00,-0.1081,0.4448,24.3119,33.6697,42.0183,0.3580,0.3356,0.3356,-0.3892,0.2611,0.2611,3.2425,-1.5148,1,19,3,0.0064613300,1.0000000000,-0.6705,1.720000,,1
BTCUSDT,2026-09-17 19:00:00+00:00,0.0230,0.2335,9.8489,48.6290,41.5221,0.2630,0.1940,0.1940,0.0874,-0.0008,-0.0008,1.3199,-2.275,0,19,3,0.0088870400,1.0000000000,-0.3944,1.680000,,0
ETHUSDT,2026-09-17 20:00:00+00:00,0.1769,0.4812,36.7572,48.4720,14.7708,0.2150,0.3223,0.3223,-0.8590,0.1530,0.1530,3.2425,-1.5148,1,20,3,0.0064613300,1.0000000000,-0.7061,1.730000,,0
BTCUSDT,2026-09-17 20:00:00+00:00,-0.0401,0.3233,12.4040,60.9293,26.6667,0.1960,0.1851,0.1851,-0.2541,0.0222,0.0222,1.3199,-2.275,0,20,3,0.0088870400,1.0000000000,-0.0834,1.660000,,0
ETHUSDT,2026-09-17 21:00:00+00:00,-0.2451,0.3658,67.0011,32.8874,0.1115,0.1910,0.3119,0.3119,-0.6975,0.3299,0.3299,3.2425,-1.5148,1,21,3,0.0064613300,1.0000000000,-0.1879,1.740000,,0
BTCUSDT,2026-09-17 21:00:00+00:00,-0.2028,0.3015,67.2735,27.3515,5.3749,0.2510,0.1776,0.1776,-0.2615,-0.0179,-0.0179,1.3199,-2.275,0,21,3,0.0088870400,1.0000000000,-0.0043,1.660000,,1
BTCUSDT,2026-09-17 22:00:00+00:00,0.0266,0.2771,9.5936,18.7618,71.6446,0.4930,0.1788,0.1788,-0.3441,-0.2207,-0.2207,1.3199,-2.275,0,22,3,0.0088870400,1.0000000000,-0.1837,1.690000,,1
ETHUSDT,2026-09-17 22:00:00+00:00,-0.0613,0.5061,12.1163,19.0630,68.8207,0.5320,0.3083,0.3083,-0.6312,0.0848,0.0848,3.2425,-1.5148,1,22,3,0.0064613300,1.0000000000,-0.1088,1.770000,,1
BTCUSDT,2026-09-17 23:00:00+00:00,0.0007,0.1652,0.3962,70.4437,29.1601,0.3210,0.1727,0.1727,-0.1933,-0.1941,-0.1941,1.3199,-2.275,0,23,3,0.0088870400,1.0000000000,0.1691,1.690000,,1
ETHUSDT,2026-09-17 23:00:00+00:00,0.0585,0.2720,21.5038,53.0827,25.4135,0.3000,0.2976,0.2976,-0.2376,0.0235,0.0235,3.2425,-1.5148,1,23,3,0.0064613300,1.0000000000,-0.0587,1.790000,,1
ETHUSDT,2026-09-18 00:00:00+00:00,0.0491,0.5012,9.7879,2.7732,87.4388,0.4940,0.2879,0.2879,-0.0710,0.0820,0.0820,3.2425,-1.5148,1,0,4,0.0062346400,-1.0000000000,0.2587,1.810000,,1
BTCUSDT,2026-09-18 00:00:00+00:00,0.2218,0.4073,54.4519,0.4179,45.1302,0.4460,0.1669,0.1669,-0.2156,-0.1934,-0.1934,1.3199,-2.275,0,0,4,0.0076118900,-1.0000000000,0.2056,1.700000,,1
ETHUSDT,2026-09-18 01:00:00+00:00,0.3726,0.6117,60.9218,19.4389,19.6393,0.6040,0.2789,0.2789,-0.1988,0.1311,0.1311,3.2425,-1.5148,1,1,4,0.0062346400,-1.0000000000,0.4172,1.840000,,1
BTCUSDT,2026-09-18 01:00:00+00:00,0.1876,0.3501,53.5821,19.8507,26.5672,0.5130,0.1713,0.1713,0.0463,0.0284,0.0284,1.3199,-2.275,0,1,4,0.0076118900,-1.0000000000,-0.0517,1.700000,,1
ETHUSDT,2026-09-18 02:00:00+00:00,0.2149,0.5870,36.6158,27.1151,36.2691,0.8350,0.2839,0.2839,0.4189,0.5037,0.5037,3.2425,-1.5148,1,2,4,0.0062346400,-1.0000000000,0.9520,1.820000,,1
BTCUSDT,2026-09-18 02:00:00+00:00,0.3057,0.5137,59.5178,15.8376,24.6447,1.1270,0.1718,0.1718,0.4367,0.2160,0.2160,1.3199,-2.275,0,2,4,0.0076118900,-1.0000000000,0.1897,1.660000,,1
BTCUSDT,2026-09-18 03:00:00+00:00,0.5308,0.8408,63.1319,35.7088,1.1594,2.1730,0.1800,0.1800,0.7158,0.5217,0.5217,1.3199,-2.275,0,3,4,0.0076118900,-1.0000000000,0.8129,1.620000,,1
ETHUSDT,2026-09-18 03:00:00+00:00,0.6528,0.9745,66.9862,28.2201,4.7937,1.5640,0.2791,0.2791,0.6951,0.7186,0.7186,3.2425,-1.5148,1,3,4,0.0062346400,-1.0000000000,-0.0339,1.730000,,1
ETHUSDT,2026-09-18 04:00:00+00:00,0.1416,0.5420,26.1355,3.9464,69.9181,0.7700,0.3042,0.3042,1.2894,1.3714,1.3714,3.2425,-1.5148,1,4,4,0.0062346400,-1.0000000000,1.2585,1.680000,,0
BTCUSDT,2026-09-18 04:00:00+00:00,0.2508,0.4656,53.8739,0.0000,46.1261,0.8550,0.2079,0.2079,1.2459,1.0525,1.0525,1.3199,-2.275,0,4,4,0.0076118900,-1.0000000000,-0.1060,1.600000,,0
BTCUSDT,2026-09-18 05:00:00+00:00,-0.1157,0.3843,30.1007,53.2886,16.6107,1.2010,0.2071,0.2071,1.2749,1.3033,1.3033,1.3199,-2.275,0,5,4,0.0076118900,-1.0000000000,0.5815,1.560000,,1
ETHUSDT,2026-09-18 05:00:00+00:00,-0.0758,0.6653,11.3870,66.5657,22.0472,1.0570,0.2969,0.2969,1.3819,1.5130,1.5130,3.2425,-1.5148,1,5,4,0.0062346400,-1.0000000000,0.3824,1.650000,,1
BTCUSDT,2026-09-18 06:00:00+00:00,0.1570,0.3496,44.9040,27.8434,27.2526,0.7620,0.2057,0.2057,0.9716,1.1876,1.1876,1.3199,-2.275,0,6,4,0.0076118900,-1.0000000000,0.0038,1.540000,,1
ETHUSDT,2026-09-18 06:00:00+00:00,0.2670,0.3077,86.7628,13.2372,0.0000,0.5340,0.2915,0.2915,0.9335,1.4372,1.4372,3.2425,-1.5148,1,6,4,0.0062346400,-1.0000000000,-0.0581,1.610000,,1
ETHUSDT,2026-09-18 07:00:00+00:00,0.1122,0.5289,21.2167,67.4525,11.3308,1.2790,0.2878,0.2878,0.9856,1.7042,1.7042,3.2425,-1.5148,1,7,4,0.0062346400,-1.0000000000,0.6516,1.580000,,1
BTCUSDT,2026-09-18 07:00:00+00:00,0.2565,0.3633,70.6175,17.3882,11.9943,1.5070,0.2021,0.2021,0.8229,1.3446,1.3446,1.3199,-2.275,0,7,4,0.0076118900,-1.0000000000,0.0490,1.510000,,1
BTCUSDT,2026-09-18 08:00:00+00:00,0.5930,0.8195,72.3678,4.7231,22.9091,1.9900,0.2016,0.2016,0.5486,1.6011,1.6011,1.3199,-2.275,0,8,4,0.0059534100,-1.0000000000,0.4043,1.500000,,0
